âÔàıID	ÉrÅ[Éãçwì¸é“	óàìXïpìx	ÉIÉÄÉcçwì¸é“
924	FALSE	2	FALSE
925	TRUE	5	FALSE
926	FALSE	1	FALSE
927	FALSE	0.5	FALSE
928	FALSE	4.5	FALSE
929	FALSE	2.5	FALSE
930	FALSE	2	FALSE
931	FALSE	4	FALSE
932	FALSE	3.5	FALSE
933	TRUE	2.5	FALSE
934	FALSE	2	FALSE
935	TRUE	1.5	FALSE
936	FALSE	2	FALSE
937	FALSE	4	FALSE
938	FALSE	2.5	FALSE
939	FALSE	0.5	FALSE
940	FALSE	0.5	FALSE
941	FALSE	5.5	FALSE
942	FALSE	2.5	FALSE
943	FALSE	1.5	FALSE
944	TRUE	2	FALSE
945	FALSE	2.5	FALSE
946	FALSE	2.5	FALSE
947	TRUE	1	FALSE
948	FALSE	4.5	FALSE
949	FALSE	1	FALSE
950	FALSE	0.5	FALSE
951	TRUE	0.5	FALSE
952	FALSE	7	FALSE
953	FALSE	6.5	TRUE
954	FALSE	2.5	FALSE
955	FALSE	1	FALSE
956	FALSE	1.5	FALSE
957	TRUE	6.5	FALSE
958	FALSE	1	FALSE
959	FALSE	2	FALSE
960	FALSE	2	FALSE
961	TRUE	2.5	FALSE
962	FALSE	1.5	FALSE
963	FALSE	0.5	FALSE
964	TRUE	2.5	FALSE
965	FALSE	2.5	FALSE
966	FALSE	2.5	FALSE
967	FALSE	5	FALSE
968	FALSE	1.5	FALSE
969	TRUE	5.5	FALSE
970	FALSE	3	FALSE
971	FALSE	3	FALSE
972	FALSE	5.5	FALSE
973	FALSE	3	FALSE
974	FALSE	3	FALSE
975	FALSE	8.5	FALSE
976	FALSE	0.5	FALSE
977	FALSE	6.5	FALSE
978	FALSE	0.5	FALSE
979	FALSE	4	FALSE
980	TRUE	1.5	FALSE
981	FALSE	1.5	FALSE
982	FALSE	2.5	FALSE
983	FALSE	2.5	FALSE
984	FALSE	1	FALSE
985	TRUE	1.5	FALSE
986	FALSE	2	FALSE
987	TRUE	2.5	FALSE
988	FALSE	13	FALSE
989	FALSE	0.5	FALSE
990	TRUE	4	FALSE
991	FALSE	2	FALSE
992	FALSE	2.5	FALSE
993	FALSE	2	FALSE
994	FALSE	6.5	FALSE
995	FALSE	7.5	FALSE
996	FALSE	2.5	FALSE
997	FALSE	8.5	FALSE
998	TRUE	1.5	FALSE
999	FALSE	7	FALSE
1000	FALSE	1.5	FALSE
